null,CNTY,2013-10-25
null,CNTY,2013-10-28
null,CNTY,2013-10-29
null,CNTY,2013-10-30
null,CNTY,2013-10-31
null,CNYD,2013-10-18
null,CNYD,2013-10-21
null,CNYD,2013-10-22
null,CNYD,2013-10-23
null,CNYD,2013-10-24
null,CNYD,2013-10-25
null,CNYD,2013-10-28
null,CNYD,2013-10-29
null,CNYD,2013-10-30
null,CNYD,2013-10-31
null,COBK,2013-10-18
null,COBK,2013-10-21
null,COBK,2013-10-22
null,COBK,2013-10-23
null,COBK,2013-10-24
null,COBK,2013-10-25
null,COBK,2013-10-28
null,COBK,2013-10-29
null,COBK,2013-10-30
null,COBK,2013-10-31
UP,COLB,2013-10-18
null,COLB,2013-10-21
null,COLB,2013-10-22
null,COLB,2013-10-23
null,COLB,2013-10-24
UP,COLB,2013-10-25
null,COLB,2013-10-28
null,COLB,2013-10-29
null,COLB,2013-10-30
null,COLB,2013-10-31
UP,CONN,2013-10-18
null,CONN,2013-10-21
null,CONN,2013-10-22
DOWN,CONN,2013-10-23
DOWN,CONN,2013-10-24
UP,CONN,2013-10-25
null,CONN,2013-10-28
null,CONN,2013-10-29
null,CONN,2013-10-30
null,CONN,2013-10-31
null,CORE,2013-10-18
null,CORE,2013-10-21
null,CORE,2013-10-22
null,CORE,2013-10-23
null,CORE,2013-10-24
null,CORE,2013-10-25
null,CORE,2013-10-28
null,CORE,2013-10-29
null,CORE,2013-10-30
null,CORE,2013-10-31
null,CORT,2013-10-18
null,CORT,2013-10-21
null,CORT,2013-10-22
null,CORT,2013-10-23
null,CORT,2013-10-24
null,CORT,2013-10-25
null,CORT,2013-10-28
null,CORT,2013-10-29
null,CORT,2013-10-30
null,CORT,2013-10-31
null,COWN,2013-10-18
null,COWN,2013-10-21
null,COWN,2013-10-22
null,COWN,2013-10-23
null,COWN,2013-10-24
null,COWN,2013-10-25
null,COWN,2013-10-28
null,COWN,2013-10-29
null,COWN,2013-10-30
null,COWN,2013-10-31
UP,CPGI,2013-10-18
null,CPGI,2013-10-21
null,CPGI,2013-10-22
null,CPGI,2013-10-23
null,CPGI,2013-10-24
null,CPGI,2013-10-25
null,CPGI,2013-10-28
null,CPGI,2013-10-29
null,CPGI,2013-10-30
null,CPGI,2013-10-31
UP,CPHD,2013-10-18
UP,CPHD,2013-10-21
null,CPHD,2013-10-22
null,CPHD,2013-10-23
null,CPHD,2013-10-24
null,CPHD,2013-10-25
null,CPHD,2013-10-28
null,CPHD,2013-10-29
null,CPHD,2013-10-30
null,CPHD,2013-10-31
UP,CPSL,2013-10-18
UP,CPSL,2013-10-21
UP,CPSL,2013-10-22
null,CPSL,2013-10-23
null,CPSL,2013-10-24
null,CPSL,2013-10-25
null,CPSL,2013-10-28
null,CPSL,2013-10-29
null,CPSL,2013-10-30
null,CPSL,2013-10-31
null,CRDC,2013-10-18
null,CRDC,2013-10-21
DOWN,CRDC,2013-10-22
DOWN,CRDC,2013-10-23
DOWN,CRDC,2013-10-24
null,CRDC,2013-10-25
null,CRDC,2013-10-28
null,CRDC,2013-10-29
null,CRDC,2013-10-30
null,CRDC,2013-10-31
DOWN,CRRS,2013-10-18
UP,CRRS,2013-10-21
null,CRRS,2013-10-22
UP,CRRS,2013-10-23
UP,CRRS,2013-10-24
UP,CRRS,2013-10-25
null,CRRS,2013-10-28
null,CRRS,2013-10-29
null,CRRS,2013-10-30
null,CRRS,2013-10-31
UP,CRTX,2013-10-18
DOWN,CRTX,2013-10-21
null,CRTX,2013-10-22
null,CRTX,2013-10-23
null,CRTX,2013-10-24
null,CRTX,2013-10-25
null,CRTX,2013-10-28
null,CRTX,2013-10-29
null,CRTX,2013-10-30
null,CRTX,2013-10-31
